id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
242,甬优6号,甬粳2号A×K4806,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2005020,,,,,,,,,,,,,,,,,,,,,,,,
243,嘉乐优2号,151A×DH32,粳型三系杂交稻,嘉兴市秀洲区农业科学研究所,浙审稻2005019,,,,,,,,,,,,,,,,,,,,,,,,
244,嘉优1号,嘉60A×嘉恢40,粳型三系杂交稻,嘉兴市农业科学研究院,浙审稻2005018,,,,,,,,,,,,,,,,,,,,,,,,
245,浙优9号,5016A×浙恢9816,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2005017,,,,,,,,,,,,,,,,,,,,,,,,
246,秀水03,秀水110/嘉粳2717×秀水110,粳型常规稻,嘉兴市农业科学研究院,浙审稻2005016,,,,,,,,,,,,,,,,,,,,,,,,
247,秀水09,秀水110/嘉粳2717×秀水110,粳型常规稻,嘉兴市农业科学研究院,浙审稻2005015,,,,,,,,,,,,,,,,,,,,,,,,
248,杭43,武运粳7号×秀水63,粳型常规稻,浙江省杭州市农业科学研究院,浙审稻2005014,,,,,,,,,,,,,,,,,,,,,,,,
249,原粳35,早粳×R9223,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2005013,,,,,,,,,,,,,,,,,,,,,,,,
250,嘉绍2号,嘉59×嘉991,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2005012,,,,,,,,,,,,,,,,,,,,,,,,
251,中佳粳21,武运粳7号×秀水63,粳型常规稻,中国水稻研究所,浙审稻2005011,,,,,,,,,,,,,,,,,,,,,,,,
252,浙粳40,秀水63×秀水63/嘉58,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2005009,,,,,,,,,,,,,,,,,,,,,,,,
253,秀水417,春江17×丙97405,粳型常规稻,嘉兴市农业科学研究院,浙审稻2005008,,,,,,,,,,,,,,,,,,,,,,,,
254,Ⅱ优8006,Ⅱ-32A×中恢8006,籼型三系杂交稻,中国水稻研究所,浙审稻2005007,,,,,,,,,,,,,,,,,,,,,,,,
255,金优987,金23A×R987,籼型三系杂交稻,浙江省金华市婺城区三才农业技术研究所,浙审稻2005006,,,,,,,,,,,,,,,,,,,,,,,,
256,池优S162,白丰A×蜀恢162,籼型三系杂交稻,浙江大学农业与生物技术学院,浙审稻2005005,,,,,,,,,,,,,,,,,,,,,,,,
257,研优1号,中1A×2070F,籼型三系杂交稻,中国水稻研究所等,浙审稻2005004,,,,,,,,,,,,,,,,,,,,,,,,
258,中优208,中9A×浙恢208,籼型三系杂交稻,浙江农科种业有限公司等,浙审稻2005003,,,,,,,,,,,,,,,,,,,,,,,,
